partner_a	partner_b	name	disease	tier	frequency	entity	partner_b_band	references	notes
ETV6	SYK	t(9;12)(q22;p13.2)	AML	emerging	rare	MDS/MPN with ETV6::SYK		PMID:16769584	
ETV6	NTRK3	t(12;15)(p13.2;q25)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:9736674	TRK-inhibitor sensitive
ETV6	ABL2	t(1;12)	BOTH	actionable	rare	kinase-fusion neoplasm	1q25.2	PMID:22323482	ABL2 is on the ALL panel only; on the AML panel this side resolves to cytoband
ETV6	LYN	t(8;12)	AML	emerging	rare	kinase-fusion myeloid neoplasm		PMID:22323482	
ETV6	RET	t(10;12)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:22323482	RET-inhibitor sensitive
ETV6	ROS1	t(6;12)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:22323482	
ETV6	ALK	t(2;12)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:22323482	
ETV6	RAF1	t(3;12)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:22323482	MEK-inhibitor rationale
ETV6	NTRK2	t(9;12)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:22323482	
ETV6	NTRK1	t(1;12)	AML	actionable	rare	kinase-fusion myeloid neoplasm		PMID:22323482	
BCL11B	TLX3	t(5;14)(q32;q32.2)	ALL	defining	20% paed T-ALL	T-ALL with TLX3 rearrangement		WHO-5	BCL11B distal enhancer hijack
EWSR1	FEV	t(2;22)	AML	emerging	<1%	emerging AML entity		panel:CAM2026_new_entities	curate against source before clinical reporting
NFIA	CBFA2T3	t(1;16)(p31;q24)	AML	emerging	<1% paed	emerging AML entity		panel:CAM2026_new_entities	paediatric erythroid/megakaryoblastic phenotype reported
HNRNPH1	ERG	t(5;21)	AML	emerging	<1%	ERG-rearranged AML		panel:CAM2026_new_entities	curate against source before clinical reporting
BCR	ABL1	t(9;22)(q34.1;q11.2)	ALL	actionable	25% adult, 3% paed	B-ALL with BCR::ABL1		WHO-5; ICC 2022	ABL-TKI; p190 vs p210 breakpoint matters
ETV6	RUNX1	t(12;21)(p13.2;q22.1)	ALL	defining	25% paed	B-ALL with ETV6::RUNX1		WHO-5; ICC 2022	cryptic; favourable
TCF3	PBX1	t(1;19)(q23;p13.3)	ALL	defining	5%	B-ALL with TCF3::PBX1	1q23.3	WHO-5; ICC 2022	PBX1 is OFF-PANEL: partner side resolves to cytoband 1q23.3 only
TCF3	HLF	t(17;19)(q22;p13.3)	ALL	defining	<1%	B-ALL with TCF3::HLF		WHO-5; ICC 2022	very poor outcome; hypercalcaemia
IGH	CRLF2	t(X;14)/t(Y;14)(p22;q32)	ALL	defining	3-5%	B-ALL with CRLF2 rearrangement		WHO-5; ICC 2022	JAK/STAT activation; Ph-like overlap
P2RY8	CRLF2	PAR1 deletion	ALL	defining	5-7% paed	B-ALL with CRLF2 rearrangement		WHO-5; ICC 2022	intrachromosomal PAR1 deletion; check PAR1_CRLF2_P2RY8 interval
IGH	DUX4	t(4;14)(q35;q32)	ALL	defining	5-10%	B-ALL with DUX4 rearrangement	4q35.2	WHO-5; ICC 2022	DUX4 is OFF-PANEL (D4Z4 macrosatellite); infer from IGH breakpoint at 4q35 plus ERG intragenic deletion
IGH	ID4	t(6;14)(p22;q32)	ALL	emerging	<1%	B-ALL with IGH::ID4		PMID:22160010	
IGH	CEBPE	t(14;14)(q11;q32)	ALL	defining	<1%	B-ALL with IGH rearrangement		WHO-5	
IGH	CEBPD	t(8;14)(q11;q32)	ALL	defining	<1%	B-ALL with IGH rearrangement		WHO-5	
IGH	CEBPB	t(14;20)(q32;q13)	ALL	defining	<1%	B-ALL with IGH rearrangement		WHO-5	
IGH	EPOR	t(14;19)(q32;p13)	ALL	actionable	<1%	Ph-like B-ALL		WHO-5	JAK-class; ruxolitinib rationale
IGH	ZNF521	t(14;18)(q32;q11)	ALL	emerging	<1%	B-ALL with IGH rearrangement		PMID:11719377	
IGH	MYC	t(8;14)(q24;q32)	ALL	defining	<1%	B-ALL with MYC rearrangement		WHO-5	Burkitt-like; distinguish from Burkitt lymphoma/leukaemia
ZEB2	CEBPE	inv(14)/t(2;14)	ALL	emerging	<1%	B-ALL, ZEB2/CEBPE subtype		PMID:30643249	transcriptomic subtype
MEF2D	BCL9	del(1)(q22)	ALL	defining	4% adol/adult	B-ALL with MEF2D rearrangement		WHO-5; ICC 2022	commonest MEF2D partner; cryptic
MEF2D	HNRNPUL1	t(1;19)(q22;q13)	ALL	defining	<1%	B-ALL with MEF2D rearrangement		WHO-5	
MEF2D	SS18	t(1;18)(q22;q11)	ALL	defining	<1%	B-ALL with MEF2D rearrangement		WHO-5	
MEF2D	DAZAP1	t(1;19)(q22;p13)	ALL	defining	<1%	B-ALL with MEF2D rearrangement		WHO-5	
MEF2D	CSF1R	t(1;5)(q22;q32)	ALL	actionable	<1%	B-ALL with MEF2D rearrangement		WHO-5	kinase partner; TKI rationale
MEF2D	FOXP1	t(1;3)(q22;p13)	ALL	emerging	<1%	B-ALL with MEF2D rearrangement		PMID:27824051	
ZNF384	EP300	t(12;22)(p13;q13)	ALL	defining	5% B-ALL	B-ALL with ZNF384 rearrangement		WHO-5; ICC 2022	frequent B/myeloid antigen coexpression
ZNF384	TCF3	t(12;19)(p13;p13)	ALL	defining	2%	B-ALL with ZNF384 rearrangement		WHO-5; ICC 2022	
ZNF384	TAF15	t(12;17)(p13;q12)	ALL	defining	<1%	B-ALL with ZNF384 rearrangement		WHO-5	
ZNF384	CREBBP	t(12;16)(p13;p13)	ALL	defining	<1%	B-ALL with ZNF384 rearrangement		WHO-5	
ZNF384	EWSR1	t(12;22)(p13;q12)	ALL	defining	<1%	B-ALL with ZNF384 rearrangement	22q12.2	WHO-5	EWSR1 is on the AML panel only; on the ALL panel this side resolves to cytoband
ZNF384	SYNRG	t(12;17)(p13;q12)	ALL	defining	<1%	B-ALL with ZNF384 rearrangement		WHO-5	
ZNF362	TAF15	t(1;17)	ALL	emerging	<1%	B-ALL, ZNF362-rearranged		PMID:33450002	ZNF384 paralogue; same expression subtype
NUTM1	ACIN1	t(14;15)(q11;q14)	ALL	defining	1-2% infant	B-ALL with NUTM1 rearrangement		WHO-5; ICC 2022	infant KMT2A-germline B-ALL; favourable
NUTM1	IKZF1	t(7;15)(p12;q14)	ALL	defining	<1%	B-ALL with NUTM1 rearrangement		WHO-5	
NUTM1	CUX1	t(7;15)(q22;q14)	ALL	defining	<1%	B-ALL with NUTM1 rearrangement	7q22.1	WHO-5	CUX1 off-panel; resolves to cytoband
NUTM1	BRD9	t(5;15)(p15;q14)	ALL	defining	<1%	B-ALL with NUTM1 rearrangement	5p15.33	WHO-5	BRD9 off-panel; resolves to cytoband
PAX5	AUTS2	t(7;9)(q11;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5; ICC 2022	
PAX5	DACH1	t(9;13)(p13;q21)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	DACH2	t(X;9)(q21;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	ELN	t(7;9)(q11;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	ETV6	dic(9;12)(p13;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	FBRSL1	t(9;12)(p13;q24)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	FOXP1	t(3;9)(p13;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	NOL4L	t(9;20)(p13;q11)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	POM121	t(7;9)(q11;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	SOX5	t(9;12)(p13;p12)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	ZCCHC7	t(9;9)(p13;p13)	ALL	defining		B-ALL, PAX5alt		WHO-5	intrachromosomal 9p13
PAX5	JAK2	t(9;9)(p13;p24)	ALL	actionable		B-ALL, PAX5alt / Ph-like overlap		WHO-5	JAK-class kinase partner
PAX5	CBFA2T3	t(9;16)(p13;q24)	ALL	defining		B-ALL, PAX5alt		WHO-5	
PAX5	TBL1XR1	t(3;9)(q26;p13)	ALL	emerging		B-ALL, PAX5alt		PMID:30643249	
ABL1	NUP214	t(9;9)(q34;q34)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	dasatinib-sensitive
ABL1	RCSD1	t(1;9)(q24;q34)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL1	SNX2	t(5;9)(q15;q34)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL1	ZMIZ1	t(9;10)(q34;q22)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL1	SFPQ	t(1;9)(p34;q34)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL1	RANBP2	t(2;9)(q13;q34)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL2	PAG1	t(1;8)(q25;q21)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL2	RCSD1	t(1;1)(q24;q25)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
ABL2	ZC3HAV1	t(1;7)(q25;q34)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
PDGFRB	EBF1	del(5)(q33)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	commonest PDGFRB fusion in Ph-like ALL
PDGFRB	SSBP2	t(5;5)(q14;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
PDGFRB	ATF7IP	t(5;12)(q32;p13)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
PDGFRB	ZEB2	t(2;5)(q22;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
PDGFRB	TNIP1	t(5;5)(q33;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
CSF1R	SSBP2	t(5;5)(q14;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
CSF1R	TBL1XR1	t(3;5)(q26;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
CSF1R	MEF2D	t(1;5)(q22;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		WHO-5	
LYN	NCOR1	t(8;17)(q12;p11)	ALL	actionable		Ph-like B-ALL, ABL-class	8q12.1	WHO-5	LYN is on the AML panel only; consider adding to ALL (ABL-class Ph-like)
JAK2	PAX5	t(9;9)(p24;p13)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	ruxolitinib rationale
JAK2	SSBP2	t(5;9)(q14;p24)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	STRN3	t(9;14)(p24;q12)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	TERF2	t(9;16)(p24;q22)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	ATF7IP	t(9;12)(p24;p13)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	TPR	t(1;9)(q31;p24)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	EBF1	t(5;9)(q33;p24)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	RFX3	t(9;9)(p24;p24)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	PPFIBP1	t(9;12)(p24;p12)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	USP25	t(9;21)(p24;q11)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	ZC3HAV1	t(7;9)(q34;p24)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
JAK2	GOLGA4	t(3;9)(p22;p24)	ALL	actionable		Ph-like B-ALL, JAK-class	3p22.2	WHO-5	GOLGA4 was trimmed from the ALL panel with the other MPN/eosinophilia partners; this side now resolves to cytoband
EPOR	LAIR1	t(19;19)	ALL	actionable		Ph-like B-ALL, JAK-class	19q13.42	WHO-5	LAIR1 off-panel; resolves to cytoband
TYK2	MYB	t(6;19)(q23;p13)	ALL	actionable		Ph-like B-ALL, JAK-class		WHO-5	
TYK2	SMU1	t(9;19)(p21;p13)	ALL	actionable		Ph-like B-ALL, JAK-class	9p21.1	WHO-5	SMU1 off-panel; resolves to cytoband
NTRK3	ETV6	t(12;15)(p13;q25)	ALL	actionable		Ph-like B-ALL, other kinase	15q25.3	WHO-5	TRK-inhibitor sensitive; NTRK3 is on the AML panel only; consider adding to ALL (Ph-like other-kinase)
DGKH	ZFAND3	t(13;6)	ALL	emerging		Ph-like B-ALL, other kinase	6p21.2	PMID:25207766	ZFAND3 off-panel
IL2RB	MYH9	t(22;22)(q12;q12)	ALL	emerging		Ph-like B-ALL, other kinase		PMID:25207766	
FLT3	OFD1	t(X;13)	ALL	actionable		Ph-like B-ALL, other kinase		PMID:25207766	
HDAC9	GATAD2A	t(7;19)	ALL	emerging		Ph-like B-ALL, other kinase		PMID:25207766	
PTK2B	STAG2	t(8;X)	ALL	emerging		Ph-like B-ALL, other kinase	Xq25	PMID:25207766	
KANK1	PDGFRB	t(9;5)(p24;q32)	ALL	actionable		Ph-like B-ALL, ABL-class		PMID:25207766	
ELMO1	STRN	t(7;2)	ALL	emerging		Ph-like B-ALL, other kinase		PMID:25207766	
STIL	TAL1	del(1)(p33p33)	ALL	defining	10-25% T-ALL	T-ALL with TAL1 rearrangement		WHO-5	SIL-TAL1; cryptic interstitial deletion
TRB_locus	TAL1	t(1;14)(p33;q11.2)	ALL	defining	<3% T-ALL	T-ALL with TAL1 rearrangement		WHO-5	
TRA_TRD_locus	TAL1	t(1;14)(p33;q11.2)	ALL	defining	<3% T-ALL	T-ALL with TAL1 rearrangement		WHO-5	
TRB_locus	TAL2	t(7;9)(q34;p32)	ALL	defining	<1% T-ALL	T-ALL with TAL2 rearrangement		WHO-5	
TRA_TRD_locus	TLX1	t(10;14)(q24;q11.2)	ALL	defining	5-10% T-ALL	T-ALL with TLX1 rearrangement		WHO-5	HOX11; favourable in adults
TRB_locus	TLX1	t(7;10)(q34;q24)	ALL	defining	<1% T-ALL	T-ALL with TLX1 rearrangement		WHO-5	
TRB_locus	LMO1	t(11;14)(p15;q11.2)	ALL	defining	<2% T-ALL	T-ALL with LMO1 rearrangement		WHO-5	
TRB_locus	LMO2	t(11;14)(p13;q11.2)	ALL	defining	3-8% T-ALL	T-ALL with LMO2 rearrangement		WHO-5	also non-coding LMO2 enhancer deletion
TRB_locus	LMO3	t(7;12)(q34;p12)	ALL	emerging	<1% T-ALL	T-ALL with LMO3 rearrangement		PMID:28671688	
TRB_locus	LYL1	t(7;19)(q34;p13)	ALL	defining	<2% T-ALL	T-ALL with LYL1 rearrangement		WHO-5	immature/ETP phenotype
TRB_locus	NKX2-1	t(7;14)(q34;q13)	ALL	defining	<5% T-ALL	T-ALL with NKX2-1 rearrangement		WHO-5	
TRA_TRD_locus	NKX2-5	t(5;14)(q35;q11.2)	ALL	defining	<1% T-ALL	T-ALL with NKX2-5 rearrangement		WHO-5	
BCL11B	NKX2-5	t(5;14)(q35;q32)	ALL	defining	<1% T-ALL	T-ALL with NKX2-5 rearrangement		WHO-5	BCL11B enhancer hijack
TRB_locus	MYB	t(6;7)(q23;q34)	ALL	defining	<2% T-ALL	T-ALL with MYB rearrangement		WHO-5	also MYB tandem duplication at 6q23
TRB_locus	HOXA_cluster	inv(7)(p15q34)/t(7;7)	ALL	defining	<5% T-ALL	T-ALL with HOXA activation		WHO-5	
STMN1	SPI1	del(1)(p36)	ALL	defining	4% paed T-ALL	T-ALL with SPI1 fusion		WHO-5; PMID:28671688	very poor outcome
TCF7	SPI1	t(5;11)(q31;p11)	ALL	defining	<1% T-ALL	T-ALL with SPI1 fusion		WHO-5; PMID:28671688	very poor outcome
BCL11B	TLX3_enhancer	t(5;14)(q35;q32)	ALL	defining	20% paed T-ALL	T-ALL with TLX3 rearrangement		WHO-5	cryptic; BCL11B 3' enhancer
MEF2C	BCL11B	t(5;14)(q14;q32)	ALL	emerging	<2% T-ALL	immature/ETP T-ALL, MEF2C-dysregulated		PMID:28671688	
BCL11B	ARID1B	t(6;14)(q25;q32)	ALL	defining	<1%	ALAL with BCL11B rearrangement	6q25.3	WHO-5	ARID1B off-panel; BCL11B enhancer amplification (BETA) also occurs
TRG_locus	TLX3	t(5;7)(q35;p14)	ALL	emerging	<1% T-ALL	T-ALL with TLX3 rearrangement		PMID:28671688	
KMT2A	MLLT10	t(10;11)(p12;q23.3)	ALL	defining	<2% T-ALL	T-ALL with KMT2A rearrangement		WHO-5	HOXA activation
MYC	TRA_TRD_locus	t(8;14)(q24;q11.2)	ALL	defining	<1% T-ALL	T-ALL with MYC rearrangement		WHO-5	
